ID,Position X,Position Y
1,561.97,461.444
2,860.06,461.426
3,719.026,468.043
4,879.297,469.874
5,870.271,468.573
6,875.828,483.237
7,867.89,497.773
8,863.329,489.891
9,855.271,506.423
10,820.785,479.082
11,879.297,504.68
12,869.747,517.883
13,859.603,525.573
14,868.652,534.347
15,861.434,542.504
16,380.637,543.034
17,875.078,544.633
18,435.829,551.212
19,286.596,551.521
20,866.114,508.98
21,869.014,549.73
22,420.568,564.774
23,860.658,564.595
24,831.233,565.595
25,858.776,577.124
26,446.419,576.291
27,358.274,584.124
28,869.322,589.558
29,270.962,597.465
30,563.832,592.425
31,526.671,593
32,857.207,604.681
33,661.483,609.641
34,879.297,613.676
35,865.616,620.551
36,759.068,622.504
37,848.617,633.396
38,390.79,642.881
39,879.297,642.986
40,687.534,641.647
41,855.123,647.548
42,860.594,555.897
43,563.568,651.08
44,861.241,677.005
45,845.934,680.136
46,868.678,691.936
47,782.841,694.651
48,854.257,708.761
49,841.239,712.061
50,868.939,715.861
51,716.81,716.757
52,796.15,718.296
53,850.059,721.241
54,859.277,726.342
55,838.795,730.637
56,608.663,738.45
57,850.157,740.182
58,531.026,740.819
59,879.297,759.31
60,253.7,278.05
61,285.453,334.577
62,879.297,325.157
63,879.297,339.812
64,413.318,353.341
65,287.896,356.816
66,866.57,357.065
67,361.324,344.249
68,392.459,355.504
69,879.297,366.374
70,662.028,389.58
71,344.822,394.863
72,867.962,395.793
73,879.297,402.095
74,387.037,406.014
75,879.297,390.188
76,865.122,417.967
77,732.227,421.636
78,865.148,431.987
79,879.297,419.498
80,870.922,446.785
81,315.797,441.148
82,770.484,450.776
83,665.992,452.357
