ID,POSITION_X,POSITION_Y
1,581.468,395.642
2,579.895,431.411
3,828.872,434.653
4,837.366,448.68
5,749.724,467.238
6,806.827,483.814
7,811.192,465.026
8,820.042,558.784
9,770.114,520.494
10,812.665,563.586
11,564.03,554.532
12,848.962,576.557
13,825.289,580.162
14,683.152,592.446
15,575.812,597.249
16,548.151,595.454
17,770.796,584.411
18,662.623,606.471
19,662.713,606.504
20,763.511,621.225
21,816.176,626.07
22,390.689,633.646
23,699.712,643.52
24,633.938,645.394
25,556.889,685.969
26,819.149,682.643
27,800.425,678.88
28,548.251,701.438
29,832.395,487.433
30,860.48,701.405
31,786.518,724.952
32,552.712,732.549
33,816.187,730.849
34,727.731,747.132
35,744.03,747.05
36,518.447,746.027
37,684.902,777.208
38,354.683,802.682
39,817.257,790.181
40,568.759,817.35
41,326.793,771.524
42,437.628,693.417
43,712.81,510.83
44,778.944,861.02
45,318.745,868.306
